route,component,url_pattern
Home,Hylograph.Home,
GettingStarted,Hylograph.Tutorial.GettingStarted,
Wizard,Hylograph.Wizard.Wizard,
HowtoIndex,Hylograph.HowTo.HowtoIndex,
HowtoTransitions,Component.HowTo.HowtoTransitions,
HowtoForceGraphs,Component.HowTo.HowtoForceGraphs,
HowtoHierarchical,Component.HowTo.HowtoHierarchical,
HowtoEvents,Component.HowTo.HowtoEvents,
HowtoTreeAPI,Component.HowTo.HowtoTreeAPI,
HowtoLoadingData,Component.HowTo.HowtoLoadingData,
HowtoAxesScales,Component.HowTo.HowtoAxesScales,
HowtoTooltips,Component.HowTo.HowtoTooltips,
HowtoDebugging,Component.HowTo.HowtoDebugging,
HowtoPerformance,Component.HowTo.HowtoPerformance,
HowtoTreeExplorer,Component.HowTo.HowtoTreeExplorer,
Understanding,Hylograph.Understanding,
UnderstandingGrammar,Component.Understanding.UnderstandingGrammar,
UnderstandingAttributes,Component.Understanding.UnderstandingAttributes,
UnderstandingSelections,Component.Understanding.UnderstandingSelections,
UnderstandingTreeAPI,Component.Understanding.UnderstandingTreeAPI,
UnderstandingEmmet,Component.Understanding.UnderstandingEmmet,
UnderstandingScenes,Component.Understanding.UnderstandingScenes,
Reference,Hylograph.Reference.Reference,
ReferenceModule,Hylograph.Reference.Reference,
TourIndex,Component.Tour.TourIndex,
TourScrolly,Component.Tour.TourScrolly,
TourMotionScrolly,Component.Tour.TourMotionScrolly,
TourMotionScrollyHATS,Component.Tour.TourMotionScrollyHATS,
TourFoundations,Component.Tour.TourFoundations,
TourProfessional,Component.Tour.TourProfessional,
TourFlow,Component.Tour.TourFlow,
TourHierarchies,Component.Tour.TourHierarchies,
TourMotion,Component.Tour.TourMotion,
TourWealthHealth,Component.Tour.TourWealthHealth,
TourInterpreters,Component.Tour.TourInterpreters,
TourSonification,Component.Tour.TourSonification,
TourFPFTW,Component.Tour.TourFPFTW,
TourGraphAlgorithms,Component.Tour.TourGraphAlgorithms,
TourLesMisGUP,Hylograph.Home,
TourSimpsons,Component.Tour.TourSimpsons,
Showcase,Component.Showcase.ShowcaseIndex,
ShowcaseLuaEdge,Component.Showcase.ShowcaseLuaEdge,
Simpsons,D3.Viz.Simpsons.Standalone,
SimpsonsV2,Page.Simpsons,
Examples,Component.ExamplesGallery,
Example,Component.Example,
TreeAPI,Component.TreeAPI,
AnimatedTreeCluster,Component.AnimatedTreeCluster,
GeneralUpdatePattern,Component.GeneralUpdatePattern,
LesMisGUPTree,Hylograph.Home,
LesMisGUP,Hylograph.Home,
LesMisGUPSimple,Hylograph.Home,
LesMisGUPTreeAPI,Hylograph.Home,
LesMisGUPClean,Hylograph.Home,
LesMisQueryDemo,Hylograph.Home,
ModuleGraph,Hylograph.Home,
MermaidTreeDemo,Component.MermaidTreeDemo,
UpdateJoinDemo,Component.UpdateJoinDemo,
ForceConfigPOC,Component.SimpleForceGraph,
ForceConfigV2Test,Component.SimpleForceGraph,
SimpleForceGraph,Component.SimpleForceGraph,
SimpleChimera,Component.SimpleChimera,
SankeyDebug,Component.SankeyDebug,
ForcePlayground,Component.ForcePlayground,
ForcePlaygroundWASM,Component.ForcePlaygroundWASM,
TreeBuilder,TreeBuilder.App,
TreeBuilder2,TreeBuilder2.App,
TreeBuilder3,TreeBuilder3.App,
SimpleTreeBuilder,Hylograph.SimpleTreeBuilder,
ChartBuilder,Component.ChartBuilder,
SPLOM,Component.SPLOM,
SPLOMHATS,Component.SPLOMHATS,
GUPDebug,Component.GUPDebug,
AnimatedAttrTest,ARCHIVED,
GUPAnimatedTest,ARCHIVED,
PieDonutDemo,Component.PieDonutDemo,
HATSTransitionTest,Component.HATSTransitionTest,
VizMatrix,VizMatrix.App,
Acknowledgements,Hylograph.Acknowledgements,
NotFound,unknown,
Just,unknown,
